iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
"1","EG+","Get token","POST","https://api-eg3-qa.nextdrive.io/api/v1/oauth2/tokens/exchange","Unauthorized","401","89","30","Response Body{""message"":""Token is expired""}"
"1","EG+","Beep get brand list","GET","https://api-eg3-qa.nextdrive.io/api/v1/aircon/brands","OK","200","1122","833","Response Body{""brands"":[{""id"":""24"",""name"":""アイリスオーヤマ（IRIS OHYAMA）""},{""id"":""15"",""name"":""シャープ（Sharp）""},{""id"":""2"",""name"":""ダイキン（DAIKIN）""},{""id"":""1"",""name"":""パナソニック（Panasonic）""},{""id"":""3"",""name"":""三菱電機（Mitsubishi）""},{""id"":""12"",""name"":""東芝（Toshiba）""},{""id"":""4"",""name"":""日立（Hitachi）""},{""id"":""5"",""name"":""富士通ゼネラル（Fujitsu）""},{""id"":""13"",""name"":""APTON""},{""id"":""17"",""name"":""BEAVER""},{""id"":""19"",""name"":""CHOFU""},{""id"":""22"",""name"":""CORONA""},{""id"":""23"",""name"":""DEI""},{""id"":""14"",""name"":""GREE""},{""id"":""7"",""name"":""HERAN""},{""id"":""10"",""name"":""LG""},{""id"":""8"",""name"":""MITSUBISHI ELECTRIC""},{""id"":""9"",""name"":""MITSUBISHI HEAVY""},{""id"":""11"",""name"":""National""},{""id"":""21"",""name"":""NEC Sofeel""},{""id"":""20"",""name"":""SAMPO""},{""id"":""6"",""name"":""SANYO""},{""id"":""18"",""name"":""TECO""}]}"
"1","EG+","Get single gateway info by UUID","GET","https://api-eg3-qa.nextdrive.io/api/v1/gateways/f7f44617-4ede-4577-bec8-a41c890e3119","OK","200","174","243","Response Body{""uuid"":""f7f44617-4ede-4577-bec8-a41c890e3119"",""name"":""CubeJ-5dd346"",""model"":""Cube"",""onlineStatus"":1,""pid"":""JAB3410D07A5DD346"",""profileId"":""10d07a5d-d346-011a-2830-0006d1289522"",""firmwareVersion"":""Cube-PLUS-4.0.16027"",""wifiSsid"":""NextDriveQA""}"
